mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__C,param_classifier__degree,param_classifier__kernel,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
0.02013993263244629,0.0011353492736816406,0.004501223564147949,0.0004991292953491211,0.6,1,poly,"{'classifier__C': 0.6, 'classifier__degree': 1, 'classifier__kernel': 'poly'}",0.7949438202247191,0.7640449438202247,0.7794943820224719,0.015449438202247201,1
0.021596193313598633,0.002225637435913086,0.0040187835693359375,3.0994415283203125e-06,0.5,1,poly,"{'classifier__C': 0.5, 'classifier__degree': 1, 'classifier__kernel': 'poly'}",0.7949438202247191,0.7640449438202247,0.7794943820224719,0.015449438202247201,1
0.017054080963134766,0.0009412765502929688,0.004506707191467285,0.0005060434341430664,1.0,1,poly,"{'classifier__C': 1.0, 'classifier__degree': 1, 'classifier__kernel': 'poly'}",0.7949438202247191,0.7640449438202247,0.7794943820224719,0.015449438202247201,1
0.019115805625915527,0.0011118650436401367,0.0040007829666137695,1.1920928955078125e-07,0.9,1,poly,"{'classifier__C': 0.9, 'classifier__degree': 1, 'classifier__kernel': 'poly'}",0.7949438202247191,0.7640449438202247,0.7794943820224719,0.015449438202247201,1
0.018507003784179688,0.0014963150024414062,0.0040045976638793945,2.9802322387695312e-06,0.8,1,poly,"{'classifier__C': 0.8, 'classifier__degree': 1, 'classifier__kernel': 'poly'}",0.7949438202247191,0.7640449438202247,0.7794943820224719,0.015449438202247201,1
0.020055413246154785,0.0009349584579467773,0.0045081377029418945,0.001507878303527832,0.7000000000000001,1,poly,"{'classifier__C': 0.7000000000000001, 'classifier__degree': 1, 'classifier__kernel': 'poly'}",0.7949438202247191,0.7640449438202247,0.7794943820224719,0.015449438202247201,1
0.020351767539978027,0.0008436441421508789,0.005010724067687988,0.001011490821838379,0.30000000000000004,1,poly,"{'classifier__C': 0.30000000000000004, 'classifier__degree': 1, 'classifier__kernel': 'poly'}",0.7949438202247191,0.7612359550561798,0.7780898876404494,0.01685393258426965,7
0.020496249198913574,0.000493168830871582,0.005009055137634277,0.0010071992874145508,0.4,1,poly,"{'classifier__C': 0.4, 'classifier__degree': 1, 'classifier__kernel': 'poly'}",0.7949438202247191,0.7612359550561798,0.7780898876404494,0.01685393258426965,7
0.02249777317047119,0.0014930963516235352,0.004000425338745117,2.384185791015625e-07,0.2,1,poly,"{'classifier__C': 0.2, 'classifier__degree': 1, 'classifier__kernel': 'poly'}",0.7949438202247191,0.7584269662921348,0.776685393258427,0.01825842696629215,9
0.020222902297973633,0.0012273788452148438,0.0035004615783691406,0.0005004405975341797,1.0,2,poly,"{'classifier__C': 1.0, 'classifier__degree': 2, 'classifier__kernel': 'poly'}",0.7949438202247191,0.75,0.7724719101123596,0.02247191011235955,10
0.021694660186767578,0.0023047924041748047,0.004016757011413574,0.001015782356262207,0.9,2,poly,"{'classifier__C': 0.9, 'classifier__degree': 2, 'classifier__kernel': 'poly'}",0.7837078651685393,0.7471910112359551,0.7654494382022472,0.018258426966292096,11
0.023586273193359375,0.0022585391998291016,0.004862785339355469,0.0008258819580078125,0.1,1,poly,"{'classifier__C': 0.1, 'classifier__degree': 1, 'classifier__kernel': 'poly'}",0.7696629213483146,0.7612359550561798,0.7654494382022472,0.004213483146067398,11
0.022057771682739258,0.0010352134704589844,0.004036068916320801,4.875659942626953e-05,0.8,2,poly,"{'classifier__C': 0.8, 'classifier__degree': 2, 'classifier__kernel': 'poly'}",0.7808988764044944,0.7471910112359551,0.7640449438202248,0.01685393258426965,13
0.021703720092773438,0.002405405044555664,0.004009127616882324,1.6570091247558594e-05,0.7000000000000001,2,poly,"{'classifier__C': 0.7000000000000001, 'classifier__degree': 2, 'classifier__kernel': 'poly'}",0.7752808988764045,0.7387640449438202,0.7570224719101124,0.01825842696629215,14
0.021507620811462402,0.0014954805374145508,0.004004240036010742,3.0994415283203125e-06,0.30000000000000004,2,poly,"{'classifier__C': 0.30000000000000004, 'classifier__degree': 2, 'classifier__kernel': 'poly'}",0.7724719101123596,0.7359550561797753,0.7542134831460674,0.01825842696629215,15
0.021011710166931152,0.0010069608688354492,0.004000425338745117,4.76837158203125e-07,0.6,2,poly,"{'classifier__C': 0.6, 'classifier__degree': 2, 'classifier__kernel': 'poly'}",0.7696629213483146,0.7387640449438202,0.7542134831460674,0.015449438202247201,15
0.020511507987976074,0.0015071630477905273,0.004000663757324219,0.0010001659393310547,0.4,2,poly,"{'classifier__C': 0.4, 'classifier__degree': 2, 'classifier__kernel': 'poly'}",0.7724719101123596,0.7303370786516854,0.7514044943820225,0.021067415730337102,17
0.02255237102508545,0.0014625787734985352,0.004229545593261719,0.00023603439331054688,0.5,2,poly,"{'classifier__C': 0.5, 'classifier__degree': 2, 'classifier__kernel': 'poly'}",0.7668539325842697,0.7331460674157303,0.75,0.016853932584269704,18
0.023209333419799805,0.0009746551513671875,0.004561424255371094,0.0005433559417724609,0.1,2,poly,"{'classifier__C': 0.1, 'classifier__degree': 2, 'classifier__kernel': 'poly'}",0.7584269662921348,0.7359550561797753,0.747191011235955,0.011235955056179747,19
0.022212743759155273,0.0009377002716064453,0.004064083099365234,1.811981201171875e-05,0.2,2,poly,"{'classifier__C': 0.2, 'classifier__degree': 2, 'classifier__kernel': 'poly'}",0.7640449438202247,0.7247191011235955,0.7443820224719101,0.0196629213483146,20
0.02019500732421875,0.0011851787567138672,0.003994345664978027,6.318092346191406e-06,1.0,3,poly,"{'classifier__C': 1.0, 'classifier__degree': 3, 'classifier__kernel': 'poly'}",0.6966292134831461,0.7359550561797753,0.7162921348314607,0.0196629213483146,21
0.020463943481445312,0.0014371871948242188,0.00400853157043457,0.0010077953338623047,0.7000000000000001,3,poly,"{'classifier__C': 0.7000000000000001, 'classifier__degree': 3, 'classifier__kernel': 'poly'}",0.6910112359550562,0.7415730337078652,0.7162921348314607,0.0252808988764045,21
0.02050626277923584,0.0015031099319458008,0.00400090217590332,2.384185791015625e-07,0.6,3,poly,"{'classifier__C': 0.6, 'classifier__degree': 3, 'classifier__kernel': 'poly'}",0.6882022471910112,0.7443820224719101,0.7162921348314606,0.02808988764044945,23
0.02150142192840576,0.0014971494674682617,0.003997445106506348,9.894371032714844e-06,0.9,3,poly,"{'classifier__C': 0.9, 'classifier__degree': 3, 'classifier__kernel': 'poly'}",0.6910112359550562,0.7387640449438202,0.7148876404494382,0.023876404494381998,24
0.020997285842895508,0.001993894577026367,0.004001259803771973,3.5762786865234375e-07,0.4,3,poly,"{'classifier__C': 0.4, 'classifier__degree': 3, 'classifier__kernel': 'poly'}",0.6853932584269663,0.7443820224719101,0.7148876404494382,0.0294943820224719,24
0.021590709686279297,0.0015876293182373047,0.0045087337493896484,0.0004940032958984375,0.5,3,poly,"{'classifier__C': 0.5, 'classifier__degree': 3, 'classifier__kernel': 'poly'}",0.6853932584269663,0.7443820224719101,0.7148876404494382,0.0294943820224719,24
0.022719740867614746,0.00021755695343017578,0.004523277282714844,0.0014653205871582031,0.8,3,poly,"{'classifier__C': 0.8, 'classifier__degree': 3, 'classifier__kernel': 'poly'}",0.6910112359550562,0.7359550561797753,0.7134831460674158,0.02247191011235955,27
0.02049732208251953,0.0024933815002441406,0.004004716873168945,1.0251998901367188e-05,0.30000000000000004,3,poly,"{'classifier__C': 0.30000000000000004, 'classifier__degree': 3, 'classifier__kernel': 'poly'}",0.6853932584269663,0.7247191011235955,0.7050561797752809,0.0196629213483146,28
0.021242141723632812,0.0002048015594482422,0.004682421684265137,0.0006328821182250977,0.2,3,poly,"{'classifier__C': 0.2, 'classifier__degree': 3, 'classifier__kernel': 'poly'}",0.6825842696629213,0.702247191011236,0.6924157303370786,0.009831460674157355,29
0.02101600170135498,0.0010050535202026367,0.00450444221496582,0.0004973411560058594,0.1,3,poly,"{'classifier__C': 0.1, 'classifier__degree': 3, 'classifier__kernel': 'poly'}",0.6741573033707865,0.6629213483146067,0.6685393258426966,0.005617977528089901,30
